,tweet
2524,I recently wrote about why I’m optimistic we can prevent the worst from happening
2525,A fascinating discussion with computer scientist historian and journalist on the future of AI
2526,My mom was one of the most generous people I’ve ever known
2527,If I grew up #WithoutMom I wouldn’t be the man I am today
2528,Join the fight against preventable maternal deaths so that no child grows up without a mother
2529,All my life I’ve been surrounded by remarkable women
2530,And I was moved when Melinda decided to write about two of them — my mother and my grandmother — in her new book The #MomentofLift
2531,Happy #MotherDay to all the amazing mothers out there
2532,This fascinating #dataviz looks at how the global population pyramid is changing
2533,With the right investments in health and education young people at the bottom of the pyramid will drive tremendous growth and innovation
2534,I was touched when Melinda asked me to introduce her at her #MomentofLift book tour stop in Seattle tonight
2535,I wanted to do right by her but wasn’t sure what the best approach was so I turned to someone with some expertise in this area…
2536,2018 National Teacher of the Year told me about the remarkable resilience of her students
2537,I was inspired by their stories and Mandy’s ability to connect with them #ThankATeacher
2538,I really enjoyed spending time with 2017 WA State Teacher of the Year She showed me a neat lesson that can be used to teach science and engineering to students as young as 5 years old #ThankATeacher
2539,For Teacher Appreciation Week I’ll be highlighting some of the most impactful lessons I’ve learned from educators in my home state
2540,2019 WA State Teacher of the Year showed me how he could build lesson plans that resonate with every student #ThankATeacher
2541,I’ve learned a lot from the career of this reallife Sherlock Holmes
2542,Melinda and I love meeting with people who are trying to change the world
2543,Here are four of the people who inspired Melinda when she set out to write her new book The #MomentofLift
2544,What does a dirt detective do for a living
2545,I’m eager to watch this talk from soil scientist Asmeret Asefaw Berhe about how we can use soil to fight climate change
2546,A few months ago Fred contributed a piece to my blog which outlined why educating the next generation of African leaders will be so important
2547,By the end of the century almost half of the young people in the world will be in subSaharan Africa
2548,@FredSwaniker has an ambitious plan to unlock the talents of young Africans
2549,I was thrilled to see him featured in the latest issue of #TIME100
2550,It’s hard for me to overstate how brave people who fight outbreaks are
2551,They face a nearimpossible task with grace under pressure
2552,Congratulations on your 5th anniversary Your leadership on some of the world’s toughest challenges inspires me
2553,The world’s historic progress to #endpolio would not be possible without the strong commitment of partners like and the UAE
2554,If you enjoyed the this weekend I think you’ll be inspired by these reallife heroes
2555,It’s amazing to think about the creative ways we’ve delivered vaccines over the years even by dog sled when necessary
2556,Today a startup called Zipline is even using delivery drones to reach the most remote parts of the world
2557,The promise and perils of geneediting might be the most important public debate we haven’t been having widely enough
2558,I encourage you to read up on it whenever you have a chance
2559,This piece is a great place to start
2560,One of my favorite authors cowrote a piece about why nuclear power is so important in fighting climate change
2561,It’s worth reading
2562,Deaths from malaria have dropped 42% since 2000
2563,I’m as optimistic as ever that we can get to zero deaths in our generation #WorldMalariaDay
2564,Stories like this one from Kenya remind me of why Melinda and I started our foundation
2565,Im optimistic we will continue to make progress towards the day that no child dies from a preventable disease #VaccinesWork
2566,Melinda’s new book The #MomentofLift is out today She combines her mastery of data with her ability to tell powerful stories
2567,It was a lot of fun watching her write it and I’m excited for all of you to read it
2568,On #EarthDay I’m inspired by the inventors who are tackling climate change and all the people who are supporting their work
2569,I can’t wait to share their progress with you throughout the year
2570,Melinda’s new book The #MomentofLift is an urgent call to action
2571,I’ll commit to the lift by working to ensure that we collect better data about women’s lives and livelihoods
2572,Gene drive is a technique where you give a few mosquitoes an edited gene and it drives itself into all their offspring
2573,It could one day help us defeat diseases like malaria
2574,Less than a century ago families everywhere lived in fear of a mosquito bite
2575,Now 75% of all malaria cases occur in just 15 countries
2576,The partners fighting this disease won’t rest until we’ve reached every case of malaria while saving as many lives as possible along the way
2577,3 Which of the following factors affect the spread of malaria
2578,The answer is in my latest blog post
2579,2 What kind of pathogen causes malaria
2580,Find the answer here
2581,Biology pop quiz
2582,Test your knowledge about the world’s deadliest animal the mosquito
2583,1 Of the 3000 species of mosquitoes how many are responsible for most cases of malaria
2584,Read my post to find the answer
2585,Here’s one reason why I really really hate mosquitoes #MosquitoWeek
2586,I’ve been fascinated by Leonardo da Vinci for decades
2587,Although he died 500 years ago there’s still so much to learn from his remarkable life
2588,Precision maps are bringing us closer to the day when malaria is gone forever
2589,Why I would rather encounter a shark in the wild than a mosquito #MosquitoWeek
2590,I’m proud that is one of the many companies taking action to fight climate change and excited about its leadership in using AI to accelerate progress on these challenges
2591,To kick off #MosquitoWeek I wrote about the world’s deadliest shapeshifter and what scientists are learning about how to beat it
2592,Shapeshifters are not just the stuff of science fiction though
2593,We have them right here on earth
2594,There’s an epic scene at the end where Spock has to figure out which one is the impostor
2595,As a teenager I remember watching an episode of the original Star Trek where the bad guy is a shapeshifter who turns himself into a second Captain Kirk
2596,When I was younger I loved science fiction
2597,The author I read the most was Robert Heinlein The Moon Is a Harsh Mistress was a favorite
2598,Theyre back
2599,Young Africans will shape the future of not just their own communities but the entire world
2600,Melinda and I were honored to join President Bush and Laura Bush Their leadership of programs like has helped save millions of lives around the world
2601,I would say this even if I weren’t married to the author new book The Moment of Lift is a terrific read
2602,You can see for yourself by downloading a free excerpt
2603,I’ve learned so much from Melinda over the years and I’m delighted she is now sharing her insights with the rest of the world
2604,I’ve recommended a lot of books over the years but The #MomentofLift is particularly special to me…
2605,It also includes insights about our marriage the path we took to become equals in our work and how she has helped me grow as a father and husband
2606,She shares her personal journey from private citizen to public advocate including how she pushed our foundation to focus more on women’s empowerment
2607,The Moment of Lift is a wise honest and beautifully written book about how empowering women lifts up everyone
2608,@melindagates is the most important person in my life an amazing partner wife mother and friend and now accomplished author
2609,Her new book is a terrific read that will leave you feeling enlightened and inspired
2610,Of the many uses for AI I’m particularly excited about how it can help improve the lives of the world’s poorest
2611,In the future identifying your risk of developing Alzheimer’s could be as simple as speaking into an app on your phone
2612,When Paul and I founded together we were confident that computers would change the world
2613,But we never could have imagined how much fun we would have along the way
2614,Reducing greenhouse gas emissions from buildings is one of the five biggest challenges in the fight against climate change
2615,I love that architects are looking to nature to find solutions
2616,Most Americans want to know if they will get Alzheimer’s as early as possible
2617,That’s an important insight for scientists as they work to improve diagnostic tools
2618,Thanks to major breakthroughs over the last several years we’re closer than ever to having a reliable affordable and easytouse way to diagnose Alzheimer’s
2619,This surprised me there’s more carbon in soil than in the atmosphere and all plant life combined
2620,Here’s what that means for how we fight climate change
2621,Pivot Bio has developed an alternative to synthetic fertilizer that could help transform farming and reduce greenhouse gas emissions
2622,I’m thrilled that senators from both sides of the aisle have come together to support advanced nuclear
2623,This is exactly the kind of leadership our country needs to both solve the climate challenge and reassert our leadership in this important industry
2624,Nuclear energy is one of these critical technologies
2625,It’s ideal for dealing with climate change because it is the only carbonfree scalable energy source that’s available 24 hours a day
2626,To prevent the worst effects of climate change we need to reach nearzero emissions on all the things that drive it—agriculture electricity manufacturing transportation and buildings—by investing in innovation across all sectors while deploying low cost renewables
2627,Yesterday a bipartisan group of leaders in the %US
2628,Senate introduced the Nuclear Energy Leadership Act which establishes an ambitious plan to accelerate the development of advanced nuclear reactor technologies
2629,I can’t overstate how important this is
2630,We need to reach zero net emissions from every sector of the economy including agriculture which along with forestry and land use is responsible for almost as much greenhouse gas emissions as electricity
2631,Most discussions about fighting climate change focus on electricity and the need for renewable energy
2632,Decarbonizing the way we generate electricity would be a huge step but it won’t be enough to avoid the worst effects of climate change
2633,Five years ago India was declared poliofree
2634,Whenever someone asks me how they did it I tell them about one of the country’s lowest castes the Musahar
2635,I’m inspired by Azim Premji’s continued commitment to philanthropy
2636,His latest contribution will make a tremendous impact
2637,Thanks to the incredible work of goat nurses thousands of women in India have an opportunity to lift themselves and their families out of poverty
2638,@SueDHellmann recently sat down with to talk about how our foundation measures the impact of our partners and grantees
2639,It’s worth a listen
2640,Meet the goat nurses an incredible team of health workers who help women gain financial independence by raising healthier goats
2641,2019 marks 150 years since the creation of the periodic table
2642,Whenever people visit my office I like to show them my favorite version
2643,It’s made out of samples of each element and reminds me every day of why I’m so fascinated by science and technology
2644,If you believe innovation is for everyone then I have a list for you 10 challenges that the world needs your ideas to help solve
2645,Diversity is good for innovation
2646,This is a great conversation between and on the importance of representation and female leadership in tech
2647,If you want to discover what makes a school great there’s no substitute for spending time in the classroom
2648,I learned a lot from the students and teachers at this Chicago school
2649,Medical advances should be available to everyone who needs them
2650,That’s why I’m excited about an inexpensive blood test that could help doctors predict if a baby will be born prematurely
2651,This information would undoubtedly save lives
2652,It’s great to see leaders in Washington talking about accelerating energy innovation to fight climate change
2653,This oped from and is worth reading
2654,I was lucky to be a young person when the digital revolution was just getting under way and my Microsoft colleagues and I had the chance to help shape it
2655,Celebrating #Web30 leaves me feeling nostalgic about 1995
2656,Behind every progress report is a student story
2657,As Yusef — a senior at NorthGrand High School in Chicago — told me he is seeing himself clearly in ways he couldn’t before thanks to better data about his progress
2658,When I visited Ethiopia last month I was impressed by the government’s commitment to gender equality
2659,Ethiopian President explains why lifting up women benefits everyone
2660,Melinda’s work on behalf of women and girls inspires me every day
2661,I love this video she made for #IWD2019
2662,Tomorrow is #IWD2019 — a day when we celebrate the progress made by and for women
2663,To celebrate is sharing a chapter from her new book The Moment of Lift about the lessons she’s learned from women around the world
2664,I recently visited a high school that has gone from one of Chicago’s worst to one of its best
2665,By embracing data research and community schools have an opportunity to help students succeed in high school college and beyond
2666,Congrats on your 100th title Looking forward to seeing you soon
2667,I had a great time chatting with a fellow tech enthusiast We talked about electric cars AI and how tech can give back
2668,I was excited when I thought brought me a hamburger
2669,Turns out it was a bottle of swamp water…
2670,Reading is my favorite way to learn about a new subject
2671,Here are 10 books that have shaped how I’m thinking about technology today
2672,Everything I’ve learned about Leonardo da Vinci leads me to believe he was one of the most innovative thinkers ever
2673,Here’s what he’s taught me about art optimism and innovation
2674,I’m a big fan of the MIT annual list of breakthrough technologies — so when they asked me to choose this year’s list I jumped at the chance
2675,I’m on right now if you want to ask me anything
2676,Hey come ask me anything during my AMA at 10am
2677,You can’t improve things if you don’t know what’s going on with half the population
2678,Who has the best musical taste in our family
2679,Hint It’s not me…
2680,Even as someone who enjoys reading textbooks for fun… I’m excited about the online tools replacing them
2681,Since 2002 the and its partners have saved 27 million lives
2682,This shows what’s possible when we act on the idea that all of us have a stake in the health and wellbeing of the poorest
2683,The correct answer is Africa
2684,While the world gets older one continent is staying nearly the same age
2685,Which continent’s median age has stayed basically flat
2686,Check your answer here
2687,@MelindaGates explains how mobile phones can help connect marginalized people to their communities their bank accounts and more
2688,If you believe every student should have a chance to learn how to code nominate your favorite teacher for a scholarship
2689,The world keeps getting older but Africa stays the same age
2690,It sounds confusing but it makes sense when you break it down
2691,Electricity accounts for just 25% of greenhouse gas emissions
2692,We need breakthroughs in five key areas to prevent the worst climatechange scenarios
2693,I wish more people fully understood what it will take to stop climate change
2694,I break down the five grand challenges we face using squishy toys
2695,Even if your primary concern is the welfare of your fellow citizens these investments are overwhelmingly smart things to do
2696,Progress benefits everyone
2697,Here’s how
2698,At a time when bad news seems to dominate the headlines every day I want to keep reminding people that life is getting better for millions in the world’s poorest countries thanks in part to smart investments in health
2699,You probably won’t be too surprised to learn that I love a good cheeseburger
2700,But you may be surprised by some of the things you read in our annual letter
2701,Melinda and I are live with and hundreds of high school students talking about how surprises can move us to action
2702,In our 2019 Annual Letter we wrote about the things that have surprised us over the years
2703,Some worry us
2704,Others inspire us
2705,All of them are moving us to action
2706,Health is a catalyst for economic growth
2707,I enjoyed hearing from about how South Africa is investing in its human capital
2708,@PMEthiopia Abiy Ahmed is a champion for diversity and gender equality
2709,I enjoyed talking with him while in Addis Ababa
2710,Under Rwanda has become a leader in promoting health across the continent
2711,We had a great conversation about the importance of continued health investment
2712,This is an interesting take from about challenging your assumptions of what makes a good school
2713,In 2009 my friend was tapped by the government of India to turn its vision for a digital ID system into a reality
2714,A decade later nearly all of India’s 1
2715,3 billion residents are enrolled in this impressive program
2716,I enjoyed serving as firstever guest editor last year and I was excited when I heard that would be taking the helm this year
2717,Congrats Ava on a great issue highlighting the power of art and optimism
2718,Energy innovation is the best investment we can make to prevent the worst effects of climate change just released a new report with and outlining nearterm actions to bring more clean energy technologies to market
2719,Nandan Nilekani is one of Indias leading technology entrepreneurs
2720,He and I are both optimistic about the potential of secure digital ID systems to improve people’s lives
2721,When and I started our foundation we knew our investments would be highrisk highreward
2722,Melinda explains why the returns have been greater than we ever could have imagined
2723,One billion people don’t have an official proof of identity
2724,One of India’s leading technology entrepreneurs is working to change that
2725,Some good news in the Ebola fight nearly 64000 vaccine doses have been administered so far
2726,Great partnership between and
2727,Global health organizations turned a 10 billion investment into 200 billion in benefits
2728,You can’t beat that deal
2729,I love this series from I wish I could have met Norman Borlaug a Nobel Peace Prize laureate whose work in agriculture has greatly influenced my thinking
2730,It’s hard to beat this #10YearChallenge
2731,I look at a lot of global health data and one trend stands above the rest Global health groups like GPEI and are some of the best investments the world can make
2732,Global health organizations are the best investments that Melinda and I have ever made
2733,I look forward to continue working with you to advocate for health financing
2734,I’m in Davos to talk about the best returns on investment I’ve ever seen #wef19
2735,@reidhoffman’s podcast is insightful for leaders at any level
2736,I enjoyed hearing him describe how the best leaders make everyone a hero
2737,Martin Luther King Jr
2738,inspired civil rights legend to get in good trouble
2739,On #MLKDay here’s the congressman’s advice for young people
2740,I saw two positive trends in Alzheimer’s research in 2018 fresh ideas and better data
2741,Here’s how we can make even more progress in 2019
2742,This is one of my favorite infographics
2743,A lot of people underestimate just how much life has improved over the last two centuries
2744,You can’t beat this ROI
2745,If we’re going to win the fight against poverty we have to be able to reach the world’s poorest people
2746,Drones could be a powerful tool in reaching the last mile
2747,Congratulations to the Indian government on the first 100 days of It’s great to see how many people have been reached by the program so far
2748,The world needs energy breakthroughs that improve people’s lives without contributing to climate change
2749,As highlights in its latest report governments have an incredible opportunity to shape the future of energy
2750,There’s never been a better time to be a student of robotics
2751,I can’t wait to see what these brilliant minds discover in the years ahead
2752,Good news you might have missed in 2018
2753,When you hear the word robot what comes to mind
2754,At Harvard I saw some surprising inventions that challenge our popular images of robots
2755,Theres no question that it was a tough year for a lot of people
2756,But makes a convincing case for why 2018 was actually the best year in human history
2757,I can’t think of a better person to bring these stories to light
2758,Congratulations
2759,I recently visited to learn more about robotics research
2760,It was exciting to speak with the many young people drawn to this rapidly growing field
2761,Melinda and I have gotten really into meditation
2762,If you’re thinking about trying mindfulness in 2019 this is the perfect introduction
2763,When I was in my 20s my year in review would amount to just one question Is Microsoft software making the personalcomputing dream come true
2764,These are the questions I’m asking myself today #TBT
2765,Happy anniversary I can’t wait to spend 25 more years laughing together
2766,I hope you have a happy and healthy start to 2019
2767,In the meantime Melinda and I are working on our next Annual Letter which we’re going to send out in February
2768,Although I’ve never been one for New Year’s resolutions I’m making one for 2019 I’m committing to learn and think more about the balance between privacy and security as well as the use of technology in education
2769,Gene editing might be the most important public debate we’re not having right now
2770,Read up on it whenever you have a chance
2771,Even better read The Gene
2772,The good news is that there has been progress toward a vaccine that would protect you from every possible strain of the flu
2773,But the world still needs to develop a global system for responding to epidemics
2774,I had hoped that hitting the 100th anniversary of the Spanish flu would spark a lot of discussion about whether we’re ready for the next global epidemic
2775,Unfortunately it didn’t and we still are not ready
2776,Some people think we have all the cleanenergy sources we need to stop climate change
2777,But we don’t
2778,As I wrote earlier this year the world needs to be working on lots of solutions to stop climate change
2779,This year the cleanenergy investment fund I’m involved with announced the first companies we’re putting money into
2780,Almost a decade ago I predicted that the world would soon be polio free
2781,But we had more polio cases in 2018 than in 2017
2782,Even so I remain optimistic that we could eradicate polio soon
2783,Just over a year ago I made my first investment in Alzheimer’s research
2784,I’m hopeful that we can make a lot of progress in the coming years
2785,1 What a year
2786,If you’re anything like me you’re taking stock of your work and your life and wondering where all the time went
2787,Here are a few of my thoughts as 2018 wraps up
2788,The books that kept me up reading in 2018
2789,I’m excited to share a project I’m involved with to bring Leonardo da Vinci’s work to life
2790,New report from shows the importance of federal investments in RampD to developing cleaner energy technologies like advanced nuclear energy storage and carbon capture
2791,This year I asked my Secret Santa one of my favorite traditions to give to a cause that matters to them
2792,My Santa is helping a young girl continue her education in a refugee camp through
2793,New data
2794,New insights
2795,New discoveries
2796,These are just a few of the reasons why kept me optimistic in 2018
2797,This oneofakind device brings you closer than ever to one of history’s greatest thinkers
2798,I’m a fan of everything has written and his latest book is no exception
2799,I am an optimist
2800,For me that means that I’m inspired to look for people making progress and to help spread that progress as widely as possible
2801,Here are some of those areas
2802,Tara Westover didn’t step foot in a classroom until she was 17
2803,At 32 she’s written one of the best books of the year
2804,I was thrilled to sit down with her to talk about her remarkable life
2805,I often talk about how much progress we’ve made in health and energy
2806,Turns out the same thing can be said about innovation in sports
2807,This book is a must read for anyone interested in AI machine learning and machine vision
2808,Since 2000 has vaccinated 700 million children saving more than 10 million lives
2809,That kind of progress is thanks to the many Gavi alliance partners including the UAE #vaccineswork
2810,When it comes to meditation turned me from a skeptic to a believer
2811,Good news in the fight against TB More and more South Africans are surviving the disease
2812,Melinda explains why the next great programmer won’t look anything like me which is good for them and for the world
2813,My kids tease me for being the most competitive person in our family
2814,My latest challenge
2815,A game called Guess the Philosopher with
2816,It’s no wonder Hollywood is turning this book into a movie
2817,I couldn’t put it down
2818,Brilliant engineers and scientists around the world are working hard to get the next generation of toilets off the ground
2819,And then there is Ronny Chieng
2820,Everyone could use a few more books in their lives
2821,You can’t go wrong with one of these five
2822,Five of the books I couldn’t put down in 2018
2823,One of my favorite authors sums up why history is an imperfect guide for progress If history is about all the wars all the disasters you’re missing all this incremental improvement that can only be ascertained through data
2824,Tuberculosis has haunted humanity for millennia—it’s even been found in Egyptian mummies
2825,This is the story of a doctor on the frontlines of the fight against one of the world’s oldest diseases
2826,If you’re a science and data nerd like me you may be interested in ‘Alice and Bob Meet the Wall of Fire’ and ‘The Prime Number Conspiracy’ from and
2827,Thanks to brilliant scientists in South Africa and around the world there are signs of hope in the fight against TB
2828,Before we got married Melinda and I talked about how we would give back
2829,We agreed that once you’ve taken care of your family the best use of extra wealth is to help make the world a better place
2830,Join us in one of our favorite traditions #GivingTuesday
2831,Last week I wrote about why I enjoy watching the series Silicon Valley
2832,Here are six more shows worth catching up on
2833,via
2834,Can we grow enough food to feed the world
2835,Agricultural transformation is at the heart of reducing poverty and creating prosperity
2836,Considering the impact Silicon Valley has on our lives I’m surprised how rarely pop culture gets it right
2837,To understand how it works today you should watch Personally I identify most with Richard Hendricks
2838,These six toilets could change the world #WorldToiletDay
2839,The future is bright for the world’s poorest farmers because of innovative companies like
2840,I’ve been impressed by work over the last several years and applaud investment in the firm
2841,Well said Being an optimist doesn’t mean you ignore tragedy
2842,Farm yields in many parts of Africa are just a fifth of those in the United States
2843,Innovations in agriculture will make it possible for poor farmers to increase their yields
2844,Whenever I travel for the foundation the farmers I meet talk about one thing that holds them back they can’t save their money is one of the companies working on creative solutions to this problem
2845,I just shared the stage with a beaker of poop in China
2846,Seriously
2847,Heres why
2848,The toilet hasn’t really changed in more than a century
2849,But a new generation of technology could save millions of lives
2850,There are few things I love talking about more than toilets
2851,Climate change may be the toughest problem humanity has ever faced — but its solvable
2852,Washington has a unique opportunity to lead the way as a hub for innovation on clean energy
2853,I urge you to vote yes on 1631
2854,Ballots must be in the mail by Tuesday
2855,A compelling look at how advocates and energy sector leaders are working together to tackle the real drivers of climate change
2856,@ava I can’t wait to see which stories you shine a light on in the next Optimist issue
2857,I was thrilled to contribute
2858,I’m at today to talk about energy innovation
2859,To prevent the worst effects of climate change we need to get to zero net greenhouse gas emissions in every sector of the economy within 50 years
2860,Here’s how we can do it #StanfordGEF
2861,Thailand’s Mr
2862,Condom has taught people that there is no reason to be shy about talking about sexual health
2863,Can we end extreme poverty
2864,I believe we can get close
2865,Technology is not an end in itself
2866,What matters is how we use it to enhance people’s opportunities
2867,As writes in that’s where the magic happens
2868,In a country where most people were uneasy discussing sex Mechai Viravaidya pushed the conversation out into the open
2869,Thanks to his efforts Thailand became one of the first countries to achieve a decline in HIV infections
2870,When people in Thailand want a condom they don’t call it a condom
2871,Instead they refer to it by the name of the man who taught them the importance of using one
2872,Rwanda’s health system has become a model for other nations to follow
2873,The country’s example should inspire all leaders to renew their commitments to primary health care #Astana2018
2874,In his home country The Condom King doesn’t need an introduction
2875,Mechai Viravaidya’s extraordinary life and work in global health has helped improve the lives of millions of people in Thailand
2876,A poliofree future is within reach is hosting #WorldPolioDay event to highlight the road ahead
2877,Here’s how to tunein now
2878,We must take bold steps to end polio for good
2879,Two of the leaders of in this effort and share what it will take to finish the job #WorldPolioDay
2880,As long as polio exists anywhere it is a threat to children everywhere
2881,The progress that we’ve made is thanks to the heroic efforts of health workers governments partners and donors who are working to reach every child
2882,Few people tell stories as well as Melinda
2883,Whenever she gets back from a trip I always love hearing her talk about the places she went and the people she met
2884,That’s one of the reasons why I’m excited about her new book
2885,I try to visit India at least once a year and every time I’m excited by something new that our foundation’s partners are working on
2886,Here are a few notable updates from the team #StrongerTogether
2887,Over the next year I will be writing a lot about the effort to stop climate change
2888,If you’re interested in a first look at what I’m reading and learning join the Gates Notes community
2889,In my home state climate change is on the ballot
2890,Here’s why I’m voting and why I’m encouraging my fellow Washingtonians to do the same
2891,If all the cattle in the world joined together to start their own country they would be the thirdlargest emitter of greenhouse gases
2892,Here are four more mindblowing facts about climate change
2893,We need the world’s brightest minds working on preventing the worst effects of climate change
2894,I’m placing my bets in five key areas
2895,How many drivers would have to switch to electric cars to equal the annual emissions saved by replacing one coal power plant with a nuclear plant
2896,Check your answer here and see if you can beat my score on the rest of this climate change quiz
2897,I’m in Brussels this week to sign an agreement between Breakthrough Energy and the We’re creating a pilot fund that will invest €100 million in European companies working to stop climate change
2898,Paul deserved more time in life
2899,He would have made the most of it
2900,I will miss him tremendously
2901,Creativity is how the younger generations will solve the world’s toughest problems
2902,What will you create #HourOfCode
2903,The balloon that helped me take this selfie could help us win the fight against poverty
2904,Here’s how it works
2905,Data can help farmers improve their yields and increase their incomes
2906,A team of amazing researchers has developed a series of innovations that might one day put changing information in the hands of even the poorest farmers
2907,Of all the things I’ve discussed with one of the most thoughtprovoking might be blitzscaling
2908,I’m glad Reid and are sharing their insights on how to start and scale companies in their new book
2909,I just shared a new list on These books make me optimistic about the world and help me understand the role of innovation in driving progress
2910,The leadership of and the Indian government has played an important role in improving sanitation
2911,Now is the time to build on the success of
2912,I’ve been traveling to African countries regularly for more than two decades
2913,I wish others could come along so they could see what I see a young continent filled with optimism and innovation
2914,Clean energy is one of the smartest investments our country can make is leading the way with some exciting new investments in energy storage
2915,Congratulations to on receiving this year’s Nobel Peace Prize
2916,He and his team have helped more than 50000 survivors of sexual violence rebuild their lives
2917,Congratulations to on receiving this year’s Nobel Peace Prize
2918,Melinda and I met Nadia at our Goalkeepers event last month and were deeply moved by her humanity and compassion
2919,Addressing climate change will require unprecedented innovation
2920,I recently spent time with the worldclass leadership team and I’m excited about the potential represented by these investments
2921,Innovation can happen anywhere
2922,In I argue that the best way to guarantee that everyone benefits from the next great idea is to maintain strong ties around the world #OpenFuture
2923,@Likewise is a great new app that makes it easy to save and share recommendations with friends and family
2924,It’s been a lot of fun working with the team at Likewise and I’m excited to see what you think of it
2925,In his great book Born A Crime shared that his mother instilled in him a sense that his ideas and thoughts and decisions mattered
2926,On we talked about how we can ensure all young people believe in their power and potential
2927,I am saddened to hear nonHodgkin’s lymphoma has returned but I share his optimism about the progress in medicine and admire his tenacity
2928,He can beat this again
2929,I’ve never seen a story quite like A former club promoter he has become one of the world’s leading voices on water and sanitation
2930,Congrats Scott on #ThirstBook
2931,Audio for your morning why we need to advocate for the future today
2932,By 2035 Africa will have the largest workforce in the world
2933,Investing in young people’s health and education is the best way to make the most of this opportunity
2934,Selase KoveSeyram traveled the route that tomatoes take from farm to table
2935,Along the way he learned how food — and untapped human potential — could hold the key to his country’s success #Goalkeepers18
2936,Can’t wait to catch up with on tonight
2937,We need energy breakthroughs that don’t contribute to climate change
2938,Fellow innovators and investors let’s do this #OnePlanetSummit
2939,Young people like #Goalkeepers18 winners and Dysmus Kisilu aren’t just the leaders of tomorrow they’re the leaders of today
2940,I’m optimistic that global progress will continue—as long as we invest in young people
2941,@EmmanuelMacron Thank you for joining Melinda and me at #Goalkeepers18 and for inspiring the crowd with your message on global health climate and education Let’s build your future
2942,It’s yours
2943,#Goalkeepers18 is here
2944,You can keep up with all of the action live here
2945,My #Goalkeepers18 session tomorrow has two very exciting guests Sierra Leone President Julius Maada Bio and Sierra Leone CIO Join us live on
2946,What’s in the #Goalkeepers18 report
2947,More eyepopping charts like this one
2948,In Zimbabwe female sex workers’ odds of having HIV are 11 times higher than the general population
2949,Outreach workers are helping to change that #Goalkeepers18
2950,Leaders are born as well as made but when they are born in Africa they are not always recognized
2951,Former Malawian president is driving the recognition and development of young female leaders in Africa
2952,In 1990 36% of the world’s population was living on less than 1
2953,90day
2954,How have things changed since then
2955,Check our Global Goals quiz to learn the answer #Goalkeepers18
2956,Meet the new generation of young Africans making progress possible #Goalkeepers18
2957,I think about my daughter every day and I think about what she deserves
2958,I’m going to give that to every kid
2959,I’m inspired by your dedication to your students and your craft
2960,Congrats on being named Washington State Teacher of the Year
2961,We need a better way of diagnosing Alzheimer’s
2962,Brilliant scientists and advocates like — and a new initiative called Diagnostics Accelerator — are moving us one step closer to being able to slow the progress of the disease
2963,If we focus on diagnostics datasharing and bold innovation we can drastically reduce the impact of Alzheimer’s — and we need your help
2964,As says big thinkers are welcomed to this fight #WorldAlzheimersDay
2965,Is poverty inevitable
2966,I say no — and so does the data #Goalkeepers18
2967,Looking forward to spending time with President at #Goalkeepers18
2968,Ghanaian entrepreneur is empowering a new generation of African leaders innovators and problemsolvers #Goalkeepers18
2969,What keeps Melinda and me optimistic about the world
2970,Our belief in the power of innovation to redefine what’s possible and in the ability of young people to drive economic growth and social progress #Goalkeepers18
2971,Congrats to on receiving the LemelsonMIT Prize
2972,You and your team at have done an incredible job making foreign language learning accessible to everyone
2973,22yearold Rwandan Jeanne d’Arc Girubuntu grew up riding her singlespeed bike to fetch water for her family
2974,Now she’s racing around the world and blazing pathways for female athletes
2975,This meeting is also a chance to celebrate the unsung heroes in the global fight against TB
2976,When it comes to saving lives the most unlikely heroes can make a world of difference
2977,Next week the United Nations General Assembly will host a highlevel meeting on a huge global problem tuberculosis
2978,This meeting is an important opportunity to catalyze action on a disease for which progress has been too slow
2979,I know and care about these people
2980,Watch 25yearold community health worker Maria Namhindi talk about how she’s working — and walking — to shape her country’s future
2981,New 360 video they said he was too poor to be a pilot but Daniel Zuma proved everyone wrong
2982,22yearold Rwandan Yvette Ishimwe is tackling her country’s water problem — and catching the attention of the Queen of England
2983,The world has never been better but not everyone has reaped the benefits
2984,So it’s great to see Mackenzie are launching two bold initiatives to help some of the most vulnerable people in our communities
2985,I can’t wait to see the difference their work makes
2986,Tenaw Muluye is helping his country grow — literally
2987,The 25yearold Ethiopian is an agricultural extension agent one of 72000 people teaching the countrys farmers how to get the most out of their land and rise out of poverty
2988,To have inclusive innovation companies need to have diverse teams
2989,That’s why I’m excited about recent work on increasing pathways for women of color to enter tech
2990,Melinda and I believe in the enormous potential of young people to drive progress and innovation
2991,Thats why were focusing on the growing global youth population at #Goalkeepers18
2992,What is the world’s youngest continent
2993,Check your answer here
2994,There are plenty of reasons to be optimistic that we can alter the course of Alzheimer’s
2995,One of those reasons is bipartisan support for more funded research from forwardthinking leaders like and
2996,Sixty percent of Africans are under the age of 25
2997,To see Africa through their eyes is to see a continent brimming with potential and opportunity
2998,I don’t always agree with conclusions but I have a tremendous amount of respect for his intellect and ambition as a writer
2999,In I review his new book 21 Lessons for the 21st Century
3000,The Academy for Software Engineering a public high school in New York is using computer science concepts to inspire the next generation of innovators
3001,A good report from on developing advanced nuclear reactors that are safe nearly wastefree and can help us fight climate change
3002,On the eve of the #USOpen championships I’m excited to watch great champions battle out on the court
3003,I’m also thinking about Arthur Ashe
